ID	Average Num Places Added In Each Step	Average LPMs In Local Tree	Total number of lpms in Main Tree	Number of passed trace variants	Main Tree average width	Main Tree average width	Main Tree average height	Total number of Main Tree nodes
e88c77cb-2e75-4c41-82a3-5ebfc5b7c0ff	0	2	7841	231	2.8125	8	3	46
60e8fd3c-56c5-4781-bdc6-a3043af59c4b	1	28	104203	231	3.0245261984392418	49	4	2714
291c9b8d-a3ef-4ff3-b8d6-f7b365eeb1fb	3	219	815184	231	3.306766229807985	98	4	21700
9e30436a-1696-480b-b41c-e6a3fac14236	11	2053	7628957	231	3.7949246696406025	248	4	90176
67bbebc7-8bcf-433a-82aa-a6d5ece0f766	33	22225	1289099	3	4.1098244020587344	262	4	54300
17f8533d-d1f6-4ff1-85a2-8654b2b0281c	30	10676	28163710	162	3.740990990990991	476	4	119593
988a5637-6093-47cf-b318-3c4df85e91aa	0	0	0	226	NaN	-1	0	1
006b1989-7baa-4809-9aa3-bf7abd1cbfa6	0	0	0	226	NaN	-1	0	1
4493a2c3-f0c2-4690-9cfd-fc4d871c6c97	0	0	0	226	NaN	-1	0	1
7d17c99e-a940-4b9b-8c37-a6c773e003b2	0	0	0	226	NaN	-1	0	1
a7224dc6-5c7c-4a19-b132-00c17efb26c2	0	0	98065	4366	1.875	5	3	16
c6cb26e5-1eea-4a09-8659-fb69e6ceb756	0	7	1500710	4366	2.5670498084291187	37	4	671
60d30891-df32-487f-8390-d3fba57149b8	0	0	0	226	NaN	-1	0	1
6d3f14e3-30d7-4294-ac61-73334ba296ac	0	44	9361952	4366	2.7350352112676055	94	4	6215
e51ece87-3c75-48d4-8761-64d899d7a0e5	0	0	98065	4366	1.875	5	3	16
a8201cd2-435f-41c2-af84-68cf618700a8	0	7	1500710	4366	2.5670498084291187	37	4	671
7e0e60ed-ac8e-426e-9e79-0fbe3b3d8b6b	0	44	9361275	4366	2.735475352112676	94	4	6216
80489f6e-de2c-48da-bd86-a85071a14416	0	4039	16902696	86	3.359634373758063	231	4	109898
d163fb23-805c-49ad-bdcf-9d677dc7186d	1	134	296302	96	4.055555555555555	47	4	3140
c496c5fa-a0c6-4f64-8b17-ae70088a291c	2	1357	82804	2	3.8898541731306238	44	4	12538
672c8ab3-a79d-4fdd-b1fe-60ff0e3b0e91	0	16	932	2	2.5434782608695654	8	4	118
82c0a67d-c96d-468e-bc52-ee32bf97f721	2	1582	90182	2	4.028206650831354	43	4	13568
8e51c3de-32c8-4d48-b3bb-500d66039c10	7	12750	726783	2	4.174157303370786	80	4	60927
6117f658-3d04-417a-a179-36c7367fddff	10	20839	1187847	2	4.2533670033670035	87	4	70743
e3f0e972-2459-40a5-9358-129d1470fdec	0	2	6468	96	2.25	6	3	19
58db4e79-15b1-4e28-b311-3aeab740a77e	1	134	296140	96	4.043758043758044	47	4	3143
ee2059c0-1065-4720-9aff-81c035ec2532	3	1746	3842454	96	4.058152476349472	98	4	14586
a292a07d-6b6d-4f55-a159-8e74680fd04b	9	96789	12098731	4	5.960681520314548	203	4	13645
9b12efdf-8ce0-4a8b-9d09-c81f391fefcc	0	0	59083	11973	2.4411764705882355	7	4	84
951c3fd2-5fc6-48bc-9c84-97aaa89d41aa	0	1	1934	84	1.9	5	3	20
cc2c2b1e-1d89-4a04-afa8-ea26ec3225f6	0	1	1679	84	1.5	3	2	7
65c06063-6de6-4569-976a-eea7de25529e	0	1	1698	84	1.7	4	4	18
95d7d217-66af-4460-aa9c-07aa892f936b	0	1	1263	84	2.0	5	2	13
717e7e89-a11a-4168-b80c-3185f91232e3	0	1	1501	84	1.8	5	3	19
68d49c85-0190-46f7-98f7-da48f9e99f98	0	2	2492	84	1.875	4	5	31
96bbee67-dc6c-49e0-9444-b89cbd9712ce	0	1	1501	84	1.875	4	3	16
027f134a-3ccc-449e-b26c-f9a121b7b7ed	0	2	2492	84	1.875	4	3	16
8ba7a12b-7b00-4715-b095-d37a18a9a5b8	0	2	3615	84	1.875	4	3	16
b70d8ea7-1fa8-4680-8426-23d2c1b5ad92	0	3	4931	84	1.875	4	3	16
71074e68-81d7-475e-bec5-977229792154	0	2	2773	84	1.9333333333333333	4	5	30
6d056f42-2be7-4132-a53c-150199f30c63	0	2	3305	84	1.631578947368421	5	5	32
ff23e995-aff8-4069-b948-e7d49fbd3564	0	0	1014	84	1.6	3	4	9
a6219e99-196e-42c9-9bb4-34fe708b22c8	0	1	1642	84	1.4137931034482758	4	5	42
fad05a3d-81ad-4a5e-ab5c-63e60f06240d	0	105	163756	84	3.0215693566381554	46	4	8126
b60aa074-d806-45ee-9b4a-0d4e762998ec	3	65204	2021342	3	6.4600261361986355	100	4	222452
300fe81d-f0b6-4416-9df4-996831525cf5	1	4005	2487181	41	3.273009483971956	98	6	248825
9be63f40-d147-4747-be33-33c6105b2e18	0	332	446652	84	2.4627245880204693	47	6	109245
9d878f2d-29fd-468d-9314-ad988ea07700	2	1356	82718	2	3.8944099378881987	44	4	12541
71bb922b-d582-4568-b833-662079597107	0	125	158237	84	2.939067467326033	47	6	16642
6e254177-76f7-436f-9ab7-3541c26d5680	0	126	158955	84	2.9427865089175347	47	6	16666
d705175a-0ac4-4ee5-8d0f-d55c21b7239c	0	125	157386	84	2.9447874404656904	47	6	16695
b00abc24-7b07-493e-b691-cf3fe1642403	1	3233	1432418	34	2.6172990779985135	82	6	260595
aa1caed4-bf96-433a-81b1-141ee69c0ad8	0	1056	468174	34	2.3860954801234344	56	6	210321
3df070ab-84e2-4bce-98b3-34002f487322	0	278	309217	84	2.437866010775357	39	6	83259
5eceab51-a22d-4314-81d3-8f3f1498ef52	0	1	1501	84	1.7857142857142858	4	5	26
dda8c270-9224-4711-9d5b-3457b539ee58	0	2	3615	84	1.5238095238095237	4	5	33
95d1e8c3-01b8-4139-9c66-fa0e16e712f0	0	279	310203	84	2.4410043310312535	39	6	83415
8bf7274b-76cf-4f2b-8247-069477235447	0	278	309454	84	2.4393549142422293	39	6	83344
66380ac2-399e-4ef2-991a-b437221f3af6	1	21	71477	231	2.458201058201058	45	5	2324
32a7dd9d-f3b0-4937-a73b-080a69fd25d6	0	2	7435	231	1.5775862068965518	14	6	184
cb06b857-8bb9-45de-8f44-bcdf7cca7c07	0	3	11686	231	1.4210526315789473	6	5	28
bc6548e1-c548-4e0d-8ec1-52859d61e405	1	28	104301	231	2.7130144605116797	41	4	2440
df24cb64-786e-4d57-97e7-5006f3cf26f1	0	2	9888	231	1.64	5	5	42
2ca7b305-eb64-4f1a-973f-4c4f32d9665b	0	6	23784	231	1.4210526315789473	5	5	28
ebbbb627-e3a8-45ff-a6a9-2902ec95dfec	0	68	301781	231	NaN	-1	0	1
278293d1-d84f-4faa-a4ec-385820a4e363	1	21	71485	231	2.4880434782608694	45	5	2290
6928c4f7-03d2-480c-a29c-a4219d9dca10	1	21	71493	231	2.440251572327044	45	5	2329
eb9967a4-62aa-4f3e-bae3-40d965e82cb6	0	1	4939	231	1.4137931034482758	6	5	42
b34810bc-1c2d-45a4-b724-41912d899f70	0	3	11686	231	1.45	6	5	30
0ff2d6d5-32b7-4a97-bcb7-8183c188b79b	1	28	104232	231	2.71523915461624	41	4	2442
8aa7070a-b201-404b-9e3c-1ed114673fe9	0	2	9888	231	1.46875	5	5	48
fcbd363b-8832-47d4-a4d4-55eca9ea56fb	0	6	23666	231	1.4375	4	5	24
e19287ca-3831-4bbe-ad6f-979bb3146320	0	68	302100	231	NaN	-1	0	1
739c2999-6835-4298-931e-45047e1f9151	0	5	25264	231	1.5555555555555556	6	4	43
3c550d12-da36-4d2a-b3fc-fab445baa726	0	10	46862	231	1.6666666666666667	2	3	11
7732eb87-1f3c-4fd1-878b-262bccb80dcf	0	101	449633	231	NaN	-1	0	1
082971be-e210-4d90-b2cd-f253e256a6c7	0	8	35742	231	1.4838709677419355	7	4	47
e362e1dc-5f6e-449a-a629-be6b1cb94f01	0	14	62462	231	1.5	3	3	13
ba4ae5d3-69d6-4c3d-9487-8d829ac58423	0	142	635465	231	NaN	-1	0	1
bd651ed5-5179-4ea6-b0b3-dcfa4dc78ccb	0	10	48996	231	1.7142857142857142	4	4	37
a7403c2e-82ce-4d00-a974-1940153873f3	0	17	80435	231	1.4	4	3	15
e378eb44-1380-4fa9-b5a4-8c273e9da8e1	3	352	1155154	231	3.1555903769932714	93	5	34236
b9c4a744-b2e3-46ca-a54b-e81a2a3c6f42	0	1	4939	231	1.6521739130434783	4	5	39
7be00508-92b6-4bce-9aa9-441ac839a479	0	3	11686	231	1.4210526315789473	5	5	28
1251899e-45fc-40e9-8925-d7df5f7c5060	3	219	814555	231	3.3005017163982044	88	4	24999
2493fa7c-db0d-4312-880c-35740b57852f	0	2	9888	231	1.72	5	5	44
a8141ca0-11c0-4a6f-8728-57611c8b7e8e	0	6	23494	231	1.4210526315789473	5	5	28
201590fb-628a-4cb2-aab9-e8605b46309a	2	384	1687952	231	NaN	-1	0	1
d6077b2a-f75c-4d7c-9268-5da8e1c96567	0	5	25264	231	1.6	5	4	33
f5f60b64-d6f9-4d8b-a211-6575f70819b5	0	10	47086	231	1.4444444444444444	3	3	14
1476fb65-44ab-4e46-91bf-801d14adb271	2	532	2367260	231	NaN	-1	0	1
d484a8d6-9094-4b4d-b363-c71ef538e87d	0	8	35742	231	1.7142857142857142	5	4	37
dcdac0c8-7d6a-472d-8671-f0c9bcd69be2	0	14	62462	231	1.5714285714285714	2	3	12
3cbf7659-7db9-4c97-807c-efda8172fa31	2	699	3127800	231	NaN	-1	0	1
381f1e51-dcd1-4ec6-afb9-2f8924639f02	0	10	48996	231	1.6521739130434783	5	4	39
0275df16-7fd5-4687-bdea-a899e722e530	0	17	80435	231	1.5	3	3	13
784e4081-d5cc-41c0-a34d-0649ca3616d8	14	10144	334760	2	3.9539021431459767	111	4	97781
d0cf7135-05b7-41cb-ba92-ac21f808ff13	0	1	6362	231	1.6666666666666667	10	6	146
70112dc8-4d4a-424e-933d-a04b0d853176	0	3	11686	231	1.5	3	5	25
1f7bf12f-5695-47b6-a1f7-8fe1639cd645	12	6030	144743	1	2.860876400078601	111	4	58237
94d928a4-ed68-4f2f-930b-6f2c5bf92d72	0	2	9888	231	1.6923076923076923	6	5	45
95c5cfa9-ce9b-4d4f-8c42-cc8f46c5dc7e	0	6	23638	231	1.4210526315789473	5	5	28
4b6a3231-f83e-4ce2-8a13-3869d220a6cc	10	3157	13867535	231	NaN	-1	0	1
5e4967e9-f22a-431e-b607-8fe64a8ed079	0	5	25264	231	1.5769230769230769	6	4	42
d392c209-f30c-4a02-8054-1a062e86a4ba	0	10	46987	231	1.5	3	3	13
eea52344-ced9-423a-8d0d-2f19657f5dff	10	3177	120735	2	NaN	-1	0	1
1cfd003d-b105-48ea-adfa-512342861a0a	0	8	35742	231	1.5714285714285714	5	4	34
ca51f5ab-39e3-4cd5-8055-0eb5210823c1	0	14	62487	231	1.4444444444444444	3	3	14
cb2f181f-23f5-474f-b9f7-27a19a5a09c2	9	4839	1263231	13	NaN	-1	0	1
8d93ba29-0738-419a-b2fc-39849d8bf89f	0	13	60720	231	1.7037037037037037	6	4	47
76a2e97a-be87-47b5-b055-cdbd03ce22e1	0	17	80435	231	1.4444444444444444	3	3	14
fc1b5384-a5a5-4874-9f73-8b3d62f4c772	62	19054	114328	0	2.477522306108442	256	4	14440
1451d155-fd0d-4ef4-8db1-81df995c37f8	0	1	5389	231	2.111111111111111	7	4	39
e53f256a-ff84-42d8-a8bd-8f54baf21530	0	3	11686	231	1.5	3	5	25
f14baf54-59cf-488c-8c42-007de8d97751	33	35597	854340	1	2.701107899807322	256	4	78506
ee8ec941-bc12-454e-b70c-807bef4b6110	0	2	9888	231	1.5757575757575757	5	5	53
e8fbe82b-22c7-493c-96fa-1b8c02ad214e	0	6	23638	231	1.4444444444444444	5	5	27
06a2b40f-1a40-4620-87cf-e29e88d9b82b	29	17447	8444741	25	NaN	-1	0	1
52df6c98-b61c-4f7b-9b8d-0eb7bda11b5b	0	5	25264	231	1.7142857142857142	5	4	37
86b85a42-11c3-4125-92da-8c78e2e6b470	0	10	46987	231	1.4444444444444444	3	3	14
562de8a5-e93e-4f78-a71e-4a477455e607	29	22624	46697373	105	NaN	-1	0	1
92fdc40c-6f3e-4332-a513-32d3d217c23d	0	8	35742	231	1.6	5	4	41
519afb73-0bf5-426e-8a0e-f6a1efbc3d4a	0	14	62487	231	1.5	3	3	13
d2122190-c75c-4cfe-98e8-8ab55f1f6a10	28	28451	8023269	14	NaN	-1	0	1
e66d6ab9-6b93-452b-b502-1ad2a2a7225a	0	10	48996	231	1.625	5	4	40
aa2dffe4-a717-40c4-a06e-9dd40f60d649	0	17	80435	231	1.4444444444444444	4	3	14
dcc69d13-8872-4aa6-9bdc-d21bc08116c3	0	0	0	226	NaN	-1	0	1
15778c5f-a8ca-49e9-8181-54ee4aac9ef2	0	0	2627	226	1.25	2	4	11
383e225d-8bc1-4f63-8520-0a1d4ffa9540	0	5	17067	226	1.3	3	4	14
53aab3ef-bb57-4700-b7ed-991597e5a5ff	0	0	0	226	NaN	-1	0	1
ca529cdc-aca4-43ec-9c7d-c0dbb7a09707	0	0	1487	226	1.0	1	4	5
3b9b7cc1-ec4c-4d16-8ad1-b58549d7c678	0	9	30848	226	1.3	3	4	14
bf26c5f9-85df-4306-b635-c7c6e9a32bec	0	0	0	226	NaN	-1	0	1
50ac6525-7461-424d-8491-29afaa3def76	0	0	3449	226	1.0	1	4	5
b4b1962e-331b-4701-8e62-e4a1127c8faf	0	11	45345	226	1.2727272727272727	4	4	15
376a0199-3c0e-4012-bf85-4c46cf274c23	0	0	0	226	NaN	-1	0	1
76b4a9ff-498e-4bc1-b62f-4ce79ee76ae0	0	1	4732	226	1.0	1	4	5
e36d88c7-b400-4d2a-8725-92529ac414c3	0	14	57260	226	1.2727272727272727	4	4	15
5cb831fb-5318-4164-b927-b141cccb87ad	0	0	0	226	NaN	-1	0	1
f68de36e-cc47-4d69-bf83-ede5ed41c2da	0	3	11669	226	1.25	2	4	11
5a09553b-e0cd-4e6b-acc9-9542cc020cb5	0	18	71826	226	1.2727272727272727	4	4	15
82669926-74ee-4244-a04f-53d41dc07e1a	0	0	0	226	NaN	-1	0	1
1904aad9-404a-442a-b756-569c69d1c12e	0	0	647	226	1.0	1	4	5
5a58ccc6-bac2-4c71-9a21-538e167f8b89	0	5	17067	226	1.2727272727272727	4	4	15
b2ddf95b-82e2-4f73-98fc-96507222e139	0	0	0	226	NaN	-1	0	1
79f6cf6a-ed3f-472f-9ac6-eb03a8566b59	0	0	1487	226	1.0	1	4	5
b29097b1-cbf9-4f4d-8987-6c84e529cc69	0	9	30848	226	1.2727272727272727	4	4	15
1701e27d-5a70-4f83-aaca-173bb6872657	0	0	0	226	NaN	-1	0	1
35a345cd-6c4e-46b7-a4d6-8b5ac3623a9a	0	0	3449	226	1.0	1	4	5
49060fa0-cebe-4373-a027-5a77adb73977	0	11	45345	226	1.2727272727272727	4	4	15
5d11d5be-2832-4e58-b009-20b35dbd15a1	0	0	0	226	NaN	-1	0	1
ba0f8a30-cdbf-4ead-a5df-ad41a9a64817	0	1	4732	226	1.0	1	4	5
2acdae9f-087b-45f2-ac19-b75dd9177844	0	14	57260	226	1.2727272727272727	4	4	15
d1bfd7d2-f88d-48ef-8435-c940915990b4	0	0	0	226	NaN	-1	0	1
554e32af-64f6-426b-97d7-8f2df48c2f87	0	1	5628	226	1.0	1	4	5
f759dada-21ab-4366-82d0-71957d270896	0	18	71826	226	1.2727272727272727	4	4	15
736f8c6a-08ee-4baa-9f68-a4978d9383d9	0	0	0	226	NaN	-1	0	1
d76e1a6b-0528-48ac-b050-2184952802ab	0	0	647	226	1.0	1	4	5
572f16a8-7b01-457c-9cb1-568bddcb6dbd	0	5	17067	226	1.2727272727272727	4	4	15
a6eb4f8b-a32f-47bc-af0c-b85927cbac16	0	0	0	226	NaN	-1	0	1
e59b8fad-5cf8-4875-89bc-e4c431635fcf	0	0	1487	226	1.0	1	4	5
9383ce41-8907-48e6-b5a9-d9c7496d40e2	0	9	30848	226	1.2727272727272727	4	4	15
79a2c818-307c-498e-bcf7-1bb1194a03bf	0	0	0	226	NaN	-1	0	1
43ae44d4-da31-45b7-85e4-d79352f7bdf8	0	0	3449	226	1.0	1	4	5
12df4eb2-a17c-419f-88bf-cf8a02bab714	0	11	45345	226	1.2727272727272727	4	4	15
27dd037d-95a6-4aae-86a2-694ecb6532ac	0	0	0	226	NaN	-1	0	1
cb185491-552d-45af-a89d-ae7ba1cc3310	0	1	4732	226	1.0	1	4	5
836f5dc4-7fdb-4303-ba49-d76b7eb84f76	0	14	57260	226	1.2727272727272727	4	4	15
45ee758e-e499-40cc-9b54-d0f7a17f7391	0	0	0	226	NaN	-1	0	1
d96767e4-d1ee-45a0-ae38-2b7994ec4c4a	0	1	5628	226	1.0	1	4	5
66d81d8d-b60e-448a-a2b8-9c821986f3be	0	18	71826	226	1.2727272727272727	4	4	15
d5db5a56-18ef-49c5-b7c1-3ba336522095	0	0	0	226	NaN	-1	0	1
45bb4cae-baf1-4edf-b5df-013c865aed3f	0	0	2627	226	1.2222222222222223	2	4	12
52ef1904-f368-4080-92ba-72a72f6ca086	0	5	17067	226	1.2727272727272727	4	4	15
e8be6812-a379-45ae-9eaf-ba66c3c77592	0	0	0	226	NaN	-1	0	1
1d126881-0d9c-4740-a8df-ca8391d06dc7	0	0	1487	226	1.0	1	4	5
1bfad114-8b24-4356-8171-1e34d5193261	0	9	30848	226	1.3333333333333333	3	4	13
0e97759e-41b7-4d32-b923-84d2c5caae1d	0	0	0	226	NaN	-1	0	1
30ea6b16-5b9e-4361-9920-1681695ee57f	0	0	3449	226	1.0	1	4	5
fb9b65ff-0d75-4ecd-be56-73512be3a3cb	0	11	45345	226	1.3333333333333333	3	4	13
3fffce31-b144-44fd-805b-5868107bde41	0	0	0	226	NaN	-1	0	1
f91e5b0f-ae0a-4881-9dc4-63db74cd5d89	0	1	4732	226	1.0	1	4	5
4027efde-b54e-487a-ae47-ac7c7e16d56c	0	14	57260	226	1.3	3	4	14
5395d608-fa0a-467d-a7e7-7c2da19719f3	0	0	0	226	NaN	-1	0	1
7af5c293-f340-43c3-8ed1-a310ef010274	0	1	5628	226	1.0	1	4	5
c3768608-7f1e-4c50-b336-ab9bc692831d	0	18	71826	226	1.2727272727272727	4	4	15
ff43441c-e359-4b05-a810-220d4db8bc68	0	3	608819	4366	2.274074074074074	19	5	308
c602a34c-32d0-4a3c-a1ee-6bcba5473552	0	0	73307	4366	1.2	2	3	7
f6e9f264-c4c2-4b0c-9604-f4c1a2783777	0	3	604581	4366	1.4827586206896552	12	5	87
d17eacf3-d164-4312-9aae-48f683250742	0	7	1500710	4366	2.2163120567375887	28	6	626
1b35fa4f-dc60-40fe-ac2c-e4ede8eb5646	0	0	115696	4366	1.0	1	3	4
54a4b7b2-ccc7-4e68-9fe4-c6e1d2079a21	0	5	1237447	4366	1.4647887323943662	15	5	105
c3b478cd-e879-442e-905b-06d659bb3ccc	0	15	3468359	4366	2.204951856946355	37	6	3207
b998d687-9fff-49d9-8ad5-d998000e2ca2	0	1	252303	4366	1.4444444444444444	3	4	14
a846998b-c42b-4ebb-b2cb-44df7555161a	0	10	1669430	2899	1.5662650602409638	19	5	131
50aecbc8-a1fd-4180-9c9a-58c709084310	0	17	4215361	4366	2.17477096546864	38	7	6173
6e35554c-3b65-415c-8aa7-fb38178c8690	0	1	400730	4366	1.4210526315789473	4	4	28
0b78d215-daa4-4ccd-8365-9d77a1954569	0	13	293938	411	1.5833333333333333	11	5	115
c03fae87-f92e-4693-a886-1621e4113e39	0	23	141239	96	2.166073546856465	32	7	1827
16813a67-f191-485d-9f1e-dcb8c68500b0	0	2	33066	229	1.4516129032258065	5	4	46
68d3fad7-8daa-4ed8-85bc-a6256b92c733	0	15	24252	25	1.5555555555555556	13	5	99
88b3360a-3402-403e-87d1-07032dab6475	0	42	28179	15	2.684067427949973	34	6	4937
f6d83fa2-600d-4210-a333-594942ac5c11	0	0	16706	712	1.2857142857142858	3	3	10
badb6ebc-e097-43d2-b2d6-1d2ab0569810	0	2	16459	117	1.456140350877193	14	5	84
550f3b94-57c2-4847-95e9-1ecf989695dd	0	51	124577	46	2.1598401598401598	57	6	4325
8474f7e4-2b01-4834-950b-f806725da763	0	0	81999	1880	1.5263157894736843	6	4	30
080a4aaf-64ab-4a70-9bac-ce999625b6cf	0	5	1237447	4366	1.507462686567164	14	5	102
09d9ffe0-f777-4d75-8deb-5b348efdbe08	0	105	24292787	4366	2.2318046518979004	90	7	84727
7f81b340-7a24-4d29-b826-4986229caa3a	0	1	449766	4366	1.5483870967741935	10	4	49
ff830334-d9a3-40c2-931f-c91a4e0f100e	0	10	2502473	4366	1.550561797752809	17	5	139
cd32b6b9-f07e-465a-8b95-8190a2775082	0	128	19609394	2725	2.210655311224909	87	7	161454
0516c441-3435-449f-9c4c-8fd3046ba212	0	2	623018	4366	1.6363636363636365	7	4	55
f004fb66-1fa6-45f5-99bb-06ed01466d32	0	12	3068715	4366	1.5714285714285714	16	5	122
435c112b-26da-4a3a-a28b-2c15da659c66	0	157	12436581	1298	2.065700788042925	86	7	202890
dbcab5ce-2973-40b0-8b08-33a3c7d4b7a6	0	3	984588	4366	1.5853658536585367	9	4	66
