ID	Trace Variant (tv) Count	Activities Count	tv Sum	tv Min Size	tv Max Size	tv Average Size	tv Median Size
96538696-3a9a-406c-8458-2ea6ba7d60c9	2	7	45	20	25	22	22
ab6ce19d-151e-44b7-b81a-cda800cffaea	2	7	45	20	25	22	22
5be4eff2-b09f-4132-a204-fbad753a0651	choice-2-variants-7-activities	2	7	45	22	7	57	55
2b7d222d-183f-4c88-b32a-6b828fe77e82	choice-2-variants-7-activities	2	7	45	22	7	57	55
5e6175f3-0fe2-4809-9d5a-e513f266ec3d	choice-2-variants-7-activities	2	7	45	22	7	57	55
021b1b5a-8d32-47cd-b456-c24c6c675c75	choice-2-variants-7-activities	2	7	45	22	7	57	55
4048b458-1d61-4632-9137-0b05068d338e	choice-2-variants-7-activities	2	7	45	22	7	57	55
51d309db-44e8-4116-ac7a-8cb6f0c2bb58	choice-2-variants-7-activities	2	7	45	22	7	57	55
225892a8-d21a-416f-8769-fc661e185985	ArtificialBig	96	11	1432	14	5	1866	192
51a170a7-6f02-47e9-890a-9eb815695513	choice-2-variants-7-activities	2	7	45	22	5	53	48
2b90ab02-ec9d-4294-8aef-cda0625d10b7	choice-2-variants-7-activities	2	7	45	22	5	53	48
7642d6fb-39cc-4cd6-8257-a1af991552a4	choice-2-variants-7-activities	2	7	45	22	5	53	48
4ca873e1-8416-4d83-8d44-8b990b22863f	choice-2-variants-7-activities	2	7	45	22	5	53	48
1aa406c2-c373-4abd-b089-8ae3c8132a35	choice-2-variants-7-activities	2	7	45	22	7	57	55
661bb7a8-757c-410d-9fe8-767bd37b3044	choice-2-variants-7-activities	2	7	45	22	10	63	61
29224181-7734-47c3-8686-67802e7c9f8f	choice-2-variants-7-activities	2	7	45	22	12	67	65
ee3cfb13-36ad-47c3-8735-c0d6443bf8d1	choice-2-variants-7-activities	2	7	45	22	15	73	71
89391429-d43a-4cce-bc8d-b9d10da6377a	choice-2-variants-7-activities	2	7	45	22	20	83	81
3731e7c8-cc0d-41f0-b514-44b3d6a94178	choice-2-variants-7-activities	2	7	45	22	25	88	86
460bec9a-5061-4c71-bf25-7860ab27e528	choice-2-variants-7-activities	2	7	45	22	30	88	86
82c61024-1990-43ed-8e44-17c12f6f3d2c	choice-2-variants-7-activities	2	7	45	22	50	88	86
de7c9aa4-81b5-4c7b-b53a-b166e8183260	choice-2-variants-7-activities	2	7	45	22	100	88	86
d31d39c5-8c53-443a-9456-1f2f83eff4b3	choice-2-variants-7-activities	2	7	45	22	5	53	48
ebf43a69-922f-46c8-9337-af004fba7b69	choice-2-variants-7-activities	2	7	45	22	7	57	55
16a7a413-4fad-4cd4-8165-b157270e59a2	choice-2-variants-7-activities	2	7	45	22	10	63	61
7ba6ebea-3d74-4765-9290-4f7001331851	choice-2-variants-7-activities	2	7	45	22	12	67	65
77fa4f21-6d67-4bd9-9e73-5fee2ea52591	choice-2-variants-7-activities	2	7	45	22	15	73	71
569ce37e-aef7-4512-a17a-7f80e00930cc	choice-2-variants-7-activities	2	7	45	22	20	83	81
cfb32610-753b-4b9d-aaf3-d99e519307aa	choice-2-variants-7-activities	2	7	45	22	25	88	86
b7786976-567e-4bde-af53-d6059d10826b	choice-2-variants-7-activities	2	7	45	22	30	88	86
6ee1cc4b-ad12-4672-8728-f4e9e8c8ef99	choice-2-variants-7-activities	2	7	45	22	50	88	86
c5a73c4f-ec9d-466c-9fa3-3bc97a1b5043	choice-2-variants-7-activities	2	7	45	22	5	53	48
fbc8817b-36cc-49e0-be04-e55504ae255d	choice-2-variants-7-activities	2	7	45	22	7	57	55
a726807a-305d-4189-84aa-4efeac15dc7d	choice-2-variants-7-activities	2	7	45	22	10	63	61
d760a5e2-a4a0-4698-9c17-90ac5725b2ab	choice-2-variants-7-activities	2	7	45	22	12	67	65
d848f157-63a3-4b2f-a6c4-2090c1bb264d	choice-2-variants-7-activities	2	7	45	22	15	73	71
845ac9f4-9998-4f35-af65-38cd85b9fdad	choice-2-variants-7-activities	2	7	45	22	20	83	81
e4f1b264-74cd-4f02-95dd-db3368477e74	choice-2-variants-7-activities	2	7	45	22	25	88	86
4069bb5c-493a-44cc-ac12-5df84abaf83e	choice-2-variants-7-activities	2	7	45	22	30	88	86
b7b365db-e53d-4964-b693-1ad0c9fc0d87	choice-2-variants-7-activities	2	7	45	22	50	88	86
63582617-4b84-4b44-aa7e-7cfbfbb83c64	choice-2-variants-7-activities	2	7	45	22	100	88	86
bde5a449-711b-4a6e-a23a-ea067baf073a	choice-2-variants-7-activities	2	7	45	22	5	53	48
9069287c-a000-415d-b3f3-1019e6dc3dac	choice-2-variants-7-activities	2	7	45	22	7	57	55
c21e0047-5e9b-4628-a75a-63a52c8c50db	choice-2-variants-7-activities	2	7	45	22	10	63	61
b304a6ba-012d-4e16-99ab-3e2a9aec6872	choice-2-variants-7-activities	2	7	45	22	12	67	65
0c993810-ff92-43e4-88b4-feb8a05882e8	choice-2-variants-7-activities	2	7	45	22	15	73	71
1cb26898-d7d2-48d5-98f5-aeccfddf951b	choice-2-variants-7-activities	2	7	45	22	20	83	81
d36f0843-e7c4-477b-a47c-e8de2d1c7656	choice-2-variants-7-activities	2	7	45	22	25	88	86
1ee8a9ea-fe4c-483d-95df-ded28d3110bc	choice-2-variants-7-activities	2	7	45	22	30	88	86
63d1c074-4289-4362-8b28-160f85725997	choice-2-variants-7-activities	2	7	45	22	50	88	86
072189c8-6ba7-4489-9500-10ab3005e872	choice-2-variants-7-activities	2	7	45	22	100	88	86
1fbe6bc7-a6c7-484d-ae7f-a775c188fecb	choice-2-variants-7-activities	2	7	45	22	5	53	48
ece9b401-d5c9-40ee-8927-353fb4918124	choice-2-variants-7-activities	2	7	45	22	7	57	55
bdd3b8a5-79a4-4b06-8d6e-83cab4543793	choice-2-variants-7-activities	2	7	45	22	10	63	61
a82fcedd-6296-4f0c-9b08-ae67753afeb4	choice-2-variants-7-activities	2	7	45	22	12	67	65
1d81c695-1d23-4529-b456-05dd3886c47e	choice-2-variants-7-activities	2	7	45	22	15	73	71
55650cee-c77b-41d0-a595-9a3ad0b6dc0a	choice-2-variants-7-activities	2	7	45	22	20	83	81
d03e2f98-925f-4f36-9036-15df2096dda5	choice-2-variants-7-activities	2	7	45	22	25	88	86
dbcce1b2-921c-43af-a5df-7d3bd2145785	choice-2-variants-7-activities	2	7	45	22	30	88	86
dcd4137e-3e14-468d-8536-fd109a818fd2	choice-2-variants-7-activities	2	7	45	22	50	88	86
f88c843b-d22c-4660-a7fb-0658c21e0b08	choice-2-variants-7-activities	2	7	45	22	100	88	86
61f63354-ca35-4b5d-8bae-03bb69f50ebf	choice-2-variants-7-activities	2	7	45	22	5	53	48
3eceee60-609c-4dda-a2db-817db33a5cb0	choice-2-variants-7-activities	2	7	45	22	7	57	55
312e0913-f188-4859-9582-f29b85bb8b26	choice-2-variants-7-activities	2	7	45	22	10	63	61
766e91a7-17e2-4196-93d4-7acaa7aaa6f5	choice-2-variants-7-activities	2	7	45	22	12	67	65
f2c846b4-1244-4777-aa0e-c6a7776f0980	choice-2-variants-7-activities	2	7	45	22	15	73	71
f5a933d9-e754-4006-a9f0-9080f3af69a5	choice-2-variants-7-activities	2	7	45	22	20	83	81
9e7fb6d9-1ae0-45a9-8c02-9b1dd42be31a	choice-2-variants-7-activities	2	7	45	22	25	88	86
78b4e6a2-4ac6-46df-a4a5-19d40aa31313	choice-2-variants-7-activities	2	7	45	22	30	88	86
81ee513a-f8fc-4fcc-9ac3-0fab25c8d1cc	choice-2-variants-7-activities	2	7	45	22	50	88	86
6c66faba-ca11-4d52-9d23-995df23295f0	choice-2-variants-7-activities	2	7	45	22	100	88	86
a699ad12-370e-43ef-8d54-b30a6e07c189	choice-2-variants-7-activities	2	7	45	22	5	53	48
cd9e9a48-2bb6-4727-9951-6f776930c0ed	choice-2-variants-7-activities	2	7	45	22	7	57	55
d56eb610-5895-4d25-bea6-3ab1d20afb04	choice-2-variants-7-activities	2	7	45	22	10	63	61
57786f61-917b-488e-937c-c86605ffd273	choice-2-variants-7-activities	2	7	45	22	12	67	65
18ca51e6-7521-4372-8073-69679e93b965	choice-2-variants-7-activities	2	7	45	22	15	73	71
3916dea9-a3be-4ba2-bcff-c83de522f3ac	choice-2-variants-7-activities	2	7	45	22	20	83	81
ecb836aa-eb98-4b04-820e-17b946851d9c	choice-2-variants-7-activities	2	7	45	22	25	88	86
2a2a266c-282d-4e9a-936c-a0dd8d92f86c	choice-2-variants-7-activities	2	7	45	22	30	88	86
b74bf449-6d38-4203-a96d-330e29c32169	choice-2-variants-7-activities	2	7	45	22	50	88	86
c77a01ca-e5ce-4223-85e1-89b919ce03fa	choice-2-variants-7-activities	2	7	45	22	100	88	86
03324868-1129-49b2-a28a-d6b2c998446c	choice-2-variants-7-activities	2	7	45	22	5	53	48
f553ad97-6544-4d10-a4da-9f10aefafe11	choice-2-variants-7-activities	2	7	45	22	7	57	55
97db1c39-63f0-400a-8c8d-3dc55f385e8e	choice-2-variants-7-activities	2	7	45	22	10	63	61
0d027c3a-055b-4527-af03-de5b3e1cee41	choice-2-variants-7-activities	2	7	45	22	12	67	65
51fc588a-a3cb-4f9a-abdb-ce008e897d23	choice-2-variants-7-activities	2	7	45	22	15	73	71
c2ce7055-ad6b-404f-913d-db240b030b6e	choice-2-variants-7-activities	2	7	45	22	20	83	81
29fdfbf8-51f2-42af-b528-a66c9df5b009	choice-2-variants-7-activities	2	7	45	22	25	88	86
80028983-8c01-4899-958d-a3013f69dd7d	choice-2-variants-7-activities	2	7	45	22	30	88	86
c6e2abdc-c70d-4fff-a300-dfe6eb73bf23	choice-2-variants-7-activities	2	7	45	22	50	88	86
1f6eb320-552d-4b46-bc70-2df117ff14a3	choice-2-variants-7-activities	2	7	45	22	100	88	86
d98b2df4-5c00-4685-9efe-e99983e6b1b7	choice-2-variants-7-activities	2	7	45	22	5	53	48
3d0c2f09-7554-4f07-aa6c-824f409ea1c5	choice-2-variants-7-activities	2	7	45	22	7	57	55
a2a183f2-6d0e-4ff1-9949-2428c1d6bc88	choice-2-variants-7-activities	2	7	45	22	10	63	61
acc1d963-6413-4e88-90a8-d79eff03f81f	choice-2-variants-7-activities	2	7	45	22	12	67	65
a51c4dbd-62e1-468e-a4b6-604250aebf5a	choice-2-variants-7-activities	2	7	45	22	15	73	71
c2ed1c5c-7857-4a8a-90c0-9dee6b579e4e	choice-2-variants-7-activities	2	7	45	22	5	53	48
785a299a-ac49-4704-992c-168278762a05	choice-2-variants-7-activities	2	7	45	22	7	57	55
4870f481-120c-4061-86a9-125104da66f3	choice-2-variants-7-activities	2	7	45	22	10	63	61
4d5e7e2f-f4e3-43bd-9f01-86ba935ffc88	choice-2-variants-7-activities	2	7	45	22	12	67	65
e2527783-c90d-4819-8da7-b014b29f4189	choice-2-variants-7-activities	2	7	45	22	15	73	71
f184895d-e31c-4390-9de2-58890e4cd103	choice-2-variants-7-activities	2	7	45	22	20	83	81
fb8d5a1b-8c84-4226-9c29-3de0e75db5b5	choice-2-variants-7-activities	2	7	45	22	25	88	86
f39d7f6c-924a-48c3-9b3a-360daa5b99a3	choice-2-variants-7-activities	2	7	45	22	30	88	86
42be7af9-1759-462a-89ec-f6a9a1c3d73c	choice-2-variants-7-activities	2	7	45	22	50	88	86
9a8cc1fa-21c3-476d-95ee-308ce82b6b49	choice-2-variants-7-activities	2	7	45	22	100	88	86
20029aba-c644-433b-ab2f-6ef4a2ad5c27	choice-2-variants-7-activities	2	7	45	22	5	53	48
2513ad00-afa7-45b6-85cf-40691e68eef5	choice-2-variants-7-activities	2	7	45	22	7	57	55
541e8be7-8dc6-400a-b80b-c2b80439e1de	choice-2-variants-7-activities	2	7	45	22	10	63	61
33724a93-9935-40a7-95e6-8b93b7e283a3	choice-2-variants-7-activities	2	7	45	22	12	67	65
532e3cc4-e392-4af5-add5-d0f950025c08	choice-2-variants-7-activities	2	7	45	22	15	73	71
dad091b3-4aa5-44ba-8171-0058a996bb19	choice-2-variants-7-activities	2	7	45	22	20	83	81
c4d8e506-a513-4c6c-8bae-7d66e40b061f	choice-2-variants-7-activities	2	7	45	22	25	88	86
7fe42a36-1db1-4e05-9de7-7a9a60848d02	choice-2-variants-7-activities	2	7	45	22	30	88	86
321bb984-6b91-4ef6-8d10-72c7371a5073	choice-2-variants-7-activities	2	7	45	22	50	88	86
3b90b1ed-1802-4f64-bef5-54e97dccd6f1	choice-2-variants-7-activities	2	7	45	22	100	88	86
a18fd70b-9446-4588-937f-da9033a92cef	choice-2-variants-7-activities	2	7	45	22	5	53	48
efef206d-9abc-4500-b4fb-e7c750b4b9dc	choice-2-variants-7-activities	2	7	45	22	7	57	55
33382b47-7f73-4a45-980c-b76169869b25	choice-2-variants-7-activities	2	7	45	22	10	63	61
f5ba840f-3bfc-463d-86bf-1f912947b158	choice-2-variants-7-activities	2	7	45	22	12	67	65
9f03133e-d8f5-4e57-ac56-d298a95f8877	choice-2-variants-7-activities	2	7	45	22	15	73	71
cd6cb0b5-8949-44fb-aa4c-3aefa1e75eae	choice-2-variants-7-activities	2	7	45	22	20	83	81
e95be9d4-878c-48c3-ac21-705545eb959f	choice-2-variants-7-activities	2	7	45	22	25	88	86
c206dd61-68c9-4567-a916-3ac0557faf5e	choice-2-variants-7-activities	2	7	45	22	30	88	86
24432fa4-cf2c-44ca-b67a-10c5316f41db	choice-2-variants-7-activities	2	7	45	22	50	88	86
9c5f93dd-2ea3-499d-a826-04c1ff110a2c	choice-2-variants-7-activities	2	7	45	22	100	88	86
ca8935f1-7f29-4673-83b4-b12dbcfd21ae	choice-2-variants-7-activities	2	7	45	22	5	53	48
cc32c4c6-df07-46ac-8286-c33087c78089	choice-2-variants-7-activities	2	7	45	22	7	57	55
c6b32499-bf19-49d6-916e-9298dc594ca5	choice-2-variants-7-activities	2	7	45	22	10	63	61
008ca101-dc5b-4d36-86bb-9558012a943b	choice-2-variants-7-activities	2	7	45	22	12	67	65
69d054fd-586e-4a06-aec5-063be58cdc02	choice-2-variants-7-activities	2	7	45	22	15	73	71
7f4c0761-2c78-4f09-bdcb-e79a1a3c336e	choice-2-variants-7-activities	2	7	45	22	20	83	81
cf362e26-04b1-4c74-a3d6-348616a84a3a	choice-2-variants-7-activities	2	7	45	22	25	88	86
d0072dd0-7d6c-4b9e-b4b6-b5ef0b1b0cdb	choice-2-variants-7-activities	2	7	45	22	30	88	86
e2697554-986a-4250-abca-480886c3f26f	choice-2-variants-7-activities	2	7	45	22	50	88	86
3924cb93-4f88-451e-a574-38cc3b3abfcf	choice-2-variants-7-activities	2	7	45	22	100	88	86
cdc6d5c2-6ae7-4e14-803a-e3a5a51881b7	choice-2-variants-7-activities	2	7	45	22	5	53	48
a787e6c4-c7f7-481a-9ef1-6c5e81627b68	choice-2-variants-7-activities	2	7	45	22	7	57	55
c50615ec-3751-4c36-8a57-4f9f94aad65b	choice-2-variants-7-activities	2	7	45	22	10	63	61
7540683e-a660-497b-94f1-58d96ca33a24	choice-2-variants-7-activities	2	7	45	22	12	67	65
1aee0020-9853-4db5-9bf1-a78f262d6e60	choice-2-variants-7-activities	2	7	45	22	15	73	71
32be8c3f-6339-42e3-9c36-7fd89f712605	choice-2-variants-7-activities	2	7	45	22	20	83	81
73690c84-65cc-4ceb-958c-8d8a472062be	choice-2-variants-7-activities	2	7	45	22	25	88	86
c7b6f26b-0714-4a9d-8953-84205a0a4f68	choice-2-variants-7-activities	2	7	45	22	30	88	86
54d82cd6-d4a3-4b4e-8aa1-d8c40fb7a01d	choice-2-variants-7-activities	2	7	45	22	50	88	86
9bbbcaee-dca3-46f6-96da-7f694d62cb07	choice-2-variants-7-activities	2	7	45	22	100	88	86
9efc4482-b8ec-4587-a03a-f662a940712d	choice-2-variants-7-activities	2	7	45	22	5	53	48
d63a957e-e4ec-4f44-a093-9da6ab45b551	choice-2-variants-7-activities	2	7	45	22	7	57	55
f983319b-66aa-46ec-bae4-37ef00e61435	choice-2-variants-7-activities	2	7	45	22	10	63	61
42ba3755-b160-437b-a182-614098a1e4e4	choice-2-variants-7-activities	2	7	45	22	12	67	65
f60c9206-81d5-40b8-ac17-aa4656d5f95d	choice-2-variants-7-activities	2	7	45	22	15	73	71
1ebaa6d0-741a-44e1-8f87-e4ea21d03c51	choice-2-variants-7-activities	2	7	45	22	20	83	81
3faf3238-036b-47fe-b2ab-428ef1e6e7f8	choice-2-variants-7-activities	2	7	45	22	25	88	86
0c80c700-cc9e-462c-9c25-3d409ebd82a6	choice-2-variants-7-activities	2	7	45	22	30	88	86
2dfde006-b02d-4e84-bcf0-309322cc0569	choice-2-variants-7-activities	2	7	45	22	50	88	86
4c3ed825-9eac-463f-8ed3-f838013616c3	choice-2-variants-7-activities	2	7	45	22	100	88	86
fad9adc7-7510-420a-83a1-9ea2c6538ca3	choice-2-variants-7-activities	2	7	45	22	5	53	48
e8d2b0d2-64d0-4bec-971a-c08563e208db	choice-2-variants-7-activities	2	7	45	22	7	57	55
c012be16-aa9b-4fe0-82fe-4b604a46a910	choice-2-variants-7-activities	2	7	45	22	10	63	61
956ef09c-a880-4895-b5fb-5a83d222c645	choice-2-variants-7-activities	2	7	45	22	12	67	65
ad1ff338-8c80-41c6-b1a6-6eeb89563899	choice-2-variants-7-activities	2	7	45	22	15	73	71
b146347f-b053-4167-9628-5b4485305456	choice-2-variants-7-activities	2	7	45	22	20	83	81
c7acab69-31a5-418c-80cb-9ad724a4e7bf	choice-2-variants-7-activities	2	7	45	22	25	88	86
7a148f69-5ffb-4025-b0e1-e3ff700d224f	choice-2-variants-7-activities	2	7	45	22	30	88	86
d9d1e04d-4769-417b-86ca-86ecf8d1f499	choice-2-variants-7-activities	2	7	45	22	50	88	86
36f44053-51ff-4bcb-8904-792f4addede5	choice-2-variants-7-activities	2	7	45	22	100	88	86
6d87a382-e0bd-476d-a1aa-9c330f29b54a	choice-2-variants-7-activities	2	7	45	22	5	53	48
4ab7db09-a5fa-4afd-b990-8adc93a582c6	choice-2-variants-7-activities	2	7	45	22	7	57	55
5c0ae5dc-7452-4dc1-b0ab-4c70416589e7	choice-2-variants-7-activities	2	7	45	22	5	53	48
ea5cd5bf-c5a4-4c18-b301-1f88024975f2	choice-2-variants-7-activities	2	7	45	22	7	57	55
393c5b5d-8383-4a7d-861c-a82b8e976fa5	choice-2-variants-7-activities	2	7	45	22	10	63	61
9e717921-bda1-42a3-a4ff-1cf3668ff3a6	choice-2-variants-7-activities	2	7	45	22	12	67	65
a1f979d4-b9d3-4e6d-a64a-258d0ae63d13	choice-2-variants-7-activities	2	7	45	22	15	73	71
df6b646f-86d4-4312-ba82-a533acf5d49c	choice-2-variants-7-activities	2	7	45	22	20	83	81
ccc0e4fe-31a1-4c10-ab00-b19131b6837f	choice-2-variants-7-activities	2	7	45	22	25	88	86
0803f458-a0b9-4318-96d6-0ffa2bedf84d	choice-2-variants-7-activities	2	7	45	22	30	88	86
4d02c0e4-0930-4532-b16c-c85154ccbe3e	choice-2-variants-7-activities	2	7	45	22	50	88	86
0dd393c0-909c-49f9-a26e-8d374cdc6ed2	choice-2-variants-7-activities	2	7	45	22	100	88	86
d071d63f-9aac-48e2-a035-bb1d285af882	choice-2-variants-7-activities	2	7	45	22	5	53	48
ca482bff-ced9-47d7-9fa8-e520069cd5d3	choice-2-variants-7-activities	2	7	45	22	7	57	55
a445b2e5-74e5-4eab-affc-af5de849648b	choice-2-variants-7-activities	2	7	45	22	10	63	61
a3d321a2-d024-4300-bce4-905d286af6cc	choice-2-variants-7-activities	2	7	45	22	12	67	65
0882e92e-5348-4d65-ae8a-270fb573743f	choice-2-variants-7-activities	2	7	45	22	15	73	71
a81f97ad-b5af-455b-8493-8bbc25d82863	choice-2-variants-7-activities	2	7	45	22	20	83	81
5be1093b-eba1-43f4-baf1-9be46db3d669	choice-2-variants-7-activities	2	7	45	22	25	88	86
43ee81d5-ae61-4593-8365-5c3ff2d2d29e	choice-2-variants-7-activities	2	7	45	22	30	88	86
bacbad4e-7067-473d-a19f-129f3216478f	choice-2-variants-7-activities	2	7	45	22	50	88	86
51848a86-30d9-4340-88e0-f3e5a56ba228	choice-2-variants-7-activities	2	7	45	22	100	88	86
2d33b097-986b-4512-bfa6-05e5e6f2c9c2	choice-2-variants-7-activities	2	7	45	22	5	53	48
fe838bfb-8c68-47b5-9032-405ead65f275	choice-2-variants-7-activities	2	7	45	22	7	57	55
65537999-7214-4bee-97c2-5b319e0d5738	choice-2-variants-7-activities	2	7	45	22	10	63	61
938f4be0-c575-4862-b6ed-31b3373f250e	choice-2-variants-7-activities	2	7	45	22	12	67	65
9dd17cd6-065d-4f53-8d44-6757b2071444	choice-2-variants-7-activities	2	7	45	22	15	73	71
3da49b3c-cb43-4ffc-a90b-a3fb288e4e1b	choice-2-variants-7-activities	2	7	45	22	20	83	81
1cf2f8af-ced8-4b8f-ad2d-2445f27b680e	choice-2-variants-7-activities	2	7	45	22	25	88	86
63bb651f-9801-4475-9427-d99fb3b1a723	choice-2-variants-7-activities	2	7	45	22	30	88	86
6de07646-3eff-4e58-bef7-cdd9ff64d1fc	choice-2-variants-7-activities	2	7	45	22	50	88	86
20280027-1824-4438-95ae-0a61f461a630	choice-2-variants-7-activities	2	7	45	22	100	88	86
9e158f96-68c8-4c5b-8591-4c5e77670674	choice-2-variants-7-activities	2	7	45	22	5	53	48
16af7041-f045-4bd7-9fda-4339980fd00f	choice-2-variants-7-activities	2	7	45	22	7	57	55
9942ab48-8412-4249-82a5-a5001cb374e1	choice-2-variants-7-activities	2	7	45	22	10	63	61
6fa0d5ab-0c9e-4e59-abf0-f9a2606e79a6	choice-2-variants-7-activities	2	7	45	22	12	67	65
71818dff-841c-4b27-98d3-e63ef8c9216b	choice-2-variants-7-activities	2	7	45	22	15	73	71
13455d77-3a64-439e-aacb-54b3b1a6a2df	choice-2-variants-7-activities	2	7	45	22	20	83	81
f36c4933-b1e4-4c49-9516-8cdaceef8766	choice-2-variants-7-activities	2	7	45	22	25	88	86
89877b05-c2b8-49fb-8b71-4b086206b31e	choice-2-variants-7-activities	2	7	45	22	30	88	86
cc2e305c-1af2-4636-aa7a-52699726a0be	choice-2-variants-7-activities	2	7	45	22	50	88	86
86b15632-8be2-4baf-95a8-742021015add	choice-2-variants-7-activities	2	7	45	22	100	88	86
27fc30e4-8e21-46c8-acb9-ea59520758b1	choice-2-variants-7-activities	2	7	45	22	5	53	48
3060404e-674d-4ec9-8b89-a0494303a154	choice-2-variants-7-activities	2	7	45	22	7	57	55
02132802-3c62-44c2-906d-ae82b08fa90f	choice-2-variants-7-activities	2	7	45	22	10	63	61
c9c64742-d7b6-4236-aa9f-b925c6a8a33b	choice-2-variants-7-activities	2	7	45	22	12	67	65
a4c95495-ba50-45bc-9c2c-cfadc504b33f	choice-2-variants-7-activities	2	7	45	22	15	73	71
bbdd7af2-3f2a-4722-b7e1-d8bcecb9e8ff	choice-2-variants-7-activities	2	7	45	22	20	83	81
ecab5b52-8f84-45aa-aac5-cf7af572ca49	choice-2-variants-7-activities	2	7	45	22	25	88	86
ccb1c365-4133-460d-accc-554ddb82444b	choice-2-variants-7-activities	2	7	45	22	30	88	86
6341cda1-9634-40a3-8ae8-af6eaf1ba317	choice-2-variants-7-activities	2	7	45	22	50	88	86
13b5504b-85cc-4e51-ba1e-c03923cc7927	choice-2-variants-7-activities	2	7	45	22	100	88	86
147c6e19-6cc9-4b78-a3c1-d28898a90634	choice-2-variants-7-activities	2	7	45	22	5	53	48
31b8c18d-61b6-4888-a943-446364a13e51	choice-2-variants-7-activities	2	7	45	22	7	57	55
7594eeb5-c30b-40e6-b449-d42efff29ee2	choice-2-variants-7-activities	2	7	45	22	10	63	61
4ead483b-aea2-4fed-a847-50a81fb93ac2	choice-2-variants-7-activities	2	7	45	22	12	67	65
e176b38b-986d-4760-9a73-2b624f4a3c95	choice-2-variants-7-activities	2	7	45	22	15	73	71
0a5b6012-1bcf-4958-a0da-df9506a77f98	choice-2-variants-7-activities	2	7	45	22	20	83	81
6742bac8-5c48-4085-ac1e-ab1f2fb03843	choice-2-variants-7-activities	2	7	45	22	25	88	86
ed5b9816-8ab1-42c8-a0a6-e8f46f11b4f6	choice-2-variants-7-activities	2	7	45	22	30	88	86
93ba1bbf-2243-47e9-b308-6704dc66fd56	choice-2-variants-7-activities	2	7	45	22	50	88	86
790fc3c4-41a4-4412-8008-25182c3838e6	choice-2-variants-7-activities	2	7	45	22	100	88	86
c5be1fda-8930-49d7-8e13-f467146ab5f3	choice-2-variants-7-activities	2	7	45	22	5	53	48
58dfe5cb-7345-4c39-bb64-642f7fa5061e	choice-2-variants-7-activities	2	7	45	22	7	57	55
c79ee112-1d44-4518-80e7-4b89548c7165	choice-2-variants-7-activities	2	7	45	22	10	63	61
15f9e5f4-ee43-4a71-b235-88c22c1c25f7	choice-2-variants-7-activities	2	7	45	22	12	67	65
e91518d8-9bfd-40a6-8456-b9da6b81337d	choice-2-variants-7-activities	2	7	45	22	15	73	71
b475785f-88c1-4739-94f7-5a8900b21c8b	choice-2-variants-7-activities	2	7	45	22	20	83	81
6ae70256-5b70-4750-9d10-910257a199ff	choice-2-variants-7-activities	2	7	45	22	25	88	86
70239e9c-2d6e-4149-9a3c-6fe7679c3176	choice-2-variants-7-activities	2	7	45	22	30	88	86
f6c565cd-f7dc-40b6-9d37-7a6078b4e588	choice-2-variants-7-activities	2	7	45	22	50	88	86
574bbf56-fecc-4d04-bcf5-0eb30698337e	choice-2-variants-7-activities	2	7	45	22	100	88	86
f9be84a4-1bdb-4d92-b527-fc6704f15922	Sepsis Cases - Event Log	846	16	13775	16	7	21217	5172
9905e4e7-e6be-4d1b-8bcc-d034ec83e6ca	Sepsis Cases - Event Log	846	16	13775	16	7	21217	5172
76448ad9-5e65-4384-b9cb-ba7e5050355e	Sepsis Cases - Event Log	846	16	13775	16	7	21217	5172
8e25cf48-a45b-4222-9246-fd92f0127a12	long-term-dependency	8	12	62	7	7	106	68
a997e4bd-5a7d-48c9-8108-ae3c8836da3b	long-term-dependency-and-diverse-behavior	10	9	137	13	7	197	155
90fb5eb5-ac6c-4a6b-a5b0-b2d1ae8a22ca	long-term-dependency-and-diverse-behavior	10	9	137	13	7	197	155
2098f6ba-443f-4af6-8cac-11fd72f64fe3	long-term-dependency-and-diverse-behavior	10	9	137	13	7	197	155
c87c9165-860e-461e-8063-a5bed51bcb12	long-term-dependency-and-diverse-behavior	10	9	137	13	10	221	183
c81c8e72-773d-4008-bfd3-0d3d8af7b868	long-term-dependency-and-diverse-behavior	10	9	137	13	10	221	183
59de3032-42f8-45bb-9ec6-1066a122f14d	Sepsis Cases - Event Log	846	16	13775	16	7	21217	5172
3a2bc48c-8e71-490b-b00f-023eba71ab2f	Sepsis Cases - Event Log	846	16	13775	16	10	23658	9051
